Date,Return_Communication,Return_Consumer_Dis,Return_Energy,Return_Financials,Return_Health,Return_Industrials,Return_Information,Return_Consumer_st,Return_Consumer_Dis_y,Return_Estate,Sentiment,sentimentMA7,Mkt.RF,SMB,HML,RMW,CMA,RF
5/1/13,-0.009418468,-0.004963872,-0.016513178,-0.011976191,-0.009860784,-0.011942281,-0.007992956,-0.001563759,-0.004963872,-0.004989427,0.274735812,0.305834003,-1.08,-1.46,-0.27,-0.08,-0.1,0
5/2/13,0.000963914,0.009524141,0.012774597,0.008000043,0.010590059,0.011440553,0.014190752,0.0036686,0.009524141,0.00385765,0.35467678,0.327133776,1.04,0.55,0.13,-0.42,-0.25,0
5/3/13,-0.000783109,0.012648518,0.017856543,0.00793655,0.00663018,0.01650782,0.010910895,0.00443167,0.012648518,0.001508751,0.304854582,0.343356415,1.12,0.6,0.16,-0.15,-0.27,0
5/6/13,-0.007197104,0.002723997,0.005571518,0.011787956,-0.006447944,0.005469875,0.006032837,-0.007626145,0.002723997,0.00338639,,0.335433232,0.23,0.29,0.84,-0.48,0.06,0
5/7/13,0.011406624,0.007704403,0.006719139,0.00389864,0.002765901,0.009203643,-0.002348479,0.008072936,0.007704403,0.004347833,0.514573173,0.377342518,0.54,0.19,0.13,0.22,0.29,0
5/8/13,0.007473206,0.001850824,0.00213458,0.007751977,0.002395776,0.006384462,0.007667321,0.000352589,0.001850824,-0.000224425,0.090197809,0.307807631,0.44,-0.18,0.13,-0.03,-0.15,0
5/9/13,-0.009515617,0.00126716,-0.00277416,-0.007751977,0.001014658,-0.000994049,-0.003616135,-0.007028165,0.00126716,-0.006379727,0.192645078,0.288613872,-0.31,0.07,-0.3,0.05,-0.17,0
5/10/13,0.00246239,0.008092955,-0.004640771,0.0038835,0.010717637,0.003220355,0.004393592,0.004368933,0.008092955,0.003232478,,0.291389484,0.54,0.41,-0.19,-0.3,-0.02,0
5/13/13,-0.008312299,-5.23E-05,-0.000236835,0.003868477,0.007069943,-0.003354762,-0.002793688,0.001577566,-5.23E-05,0.002473672,0.314015611,0.283257251,-0.02,-0.26,-0.04,-0.4,0.07,0
5/14/13,0.008852013,0.009999563,0.012792993,0.019121041,0.009737175,0.011360569,0.002076056,0.010764367,0.009999563,0.006492318,0.459661677,0.31421867,1.1,0.17,0.31,-0.22,0.16,0
5/15/13,0.006870826,0.005581121,-0.003731878,0.007547206,0.005464254,0.004164297,0.002131454,0.010327274,0.005581121,0.008812587,0.263165572,0.30570982,0.51,-0.11,0.28,-0.05,0.31,0
5/16/13,-0.00585216,-0.011558426,-0.005329042,-0.007547206,-0.010409514,-0.004696028,0.006940479,-0.006586954,-0.011558426,-0.007103249,0.380576037,0.283376964,-0.5,0.16,-0.28,0.12,-0.35,0
5/17/13,0.002512264,0.010011236,0.015653802,0.015037877,0.005526486,0.014337069,0.011611246,0.001367181,0.010011236,0.008282233,,0.322012795,1.04,0.08,0.39,0.08,-0.16,0
5/20/13,-0.00797725,-0.003878479,0.012778304,0,-0.006394426,0.002774944,0.000253899,-0.009750045,-0.003878479,0.000515369,0.452512205,0.37398622,-0.06,0.43,0.5,0.25,-0.21,0
5/21/13,-0.007677233,0.004549222,-0.000393275,0.003724399,0.010243119,0.001097379,-0.001896032,0,0.004549222,0.00704125,0.236831128,0.351127038,0.16,-0.08,-0.08,0.18,0.21,0
5/22/13,-0.01159681,-0.009275399,-0.012385029,-0.011215071,-0.000350865,-0.008022906,-0.010226043,-0.001427418,-0.009275399,-0.023516576,,0.358549324,-0.92,-0.73,-0.17,0.21,0.34,0
5/23/13,0.005143603,-0.003180648,-0.001993257,-0.003766483,-0.001281703,-0.003718604,-0.000850315,-0.004082883,-0.003180648,-0.016827411,,0.333271236,-0.19,0.49,-0.08,0.03,0.08,0
5/24/13,-0.003119746,-0.001934186,-0.003464418,0,-0.002180911,-0.002460286,-0.000811439,0.009524216,-0.001934186,-0.002285541,,0.35663979,-0.06,0.15,0.06,-0.04,0,0
5/28/13,-0.012763376,0.009115359,0.010027144,0.011257155,0.009044284,0.005151723,0.00672885,0.000931164,0.009115359,-0.008040783,0.455802442,0.381715258,0.77,0.68,0.21,-0.12,-0.18,0
5/29/13,-0.01494198,-0.009952923,-0.001884859,0,-0.015243581,-0.005628607,-0.000786968,-0.019382956,-0.009952923,-0.021685068,0.295338076,0.360120963,-0.7,-0.25,0.58,-0.24,-0.29,0
5/30/13,-0.009620327,-0.001414983,-0.002286435,0.01113184,0.006797763,0.004890502,0.008232435,-0.003922086,-0.001414983,-0.010981742,,0.329323882,0.5,0.37,0.49,-0.45,0,0
5/31/13,-0.01428367,-0.010915239,-0.020122482,-0.018622512,-0.02195349,-0.010044742,-0.008389903,-0.0181939,-0.010915239,-0.013274885,0.263034406,0.338058308,-1.31,0.48,-0.25,0.18,-0.13,0
6/3/13,0.002062255,0.005340678,0.00998619,0.00375235,0.005524777,0.005895962,0.006729276,0.010831258,0.005340678,0.006499521,0.125530882,0.284926452,0.48,0.16,-0.1,0.24,-0.06,0
6/4/13,0.009291663,-0.004863617,-0.007906642,-0.011299555,-0.006964791,-0.006109079,-0.006571808,0.0002399,-0.004863617,-0.012879515,,0.284926452,-0.55,-0.26,-0.17,0.35,-0.03,0
6/5/13,-0.009935661,-0.016456879,-0.011277868,-0.015267472,-0.013930682,-0.016602127,-0.010406662,-0.011920415,-0.016456879,-0.012555195,0.244484897,0.276838141,-1.38,0.03,-0.26,0.11,-0.16,0
6/6/13,0.021729596,0.010023937,0.00652067,0.015267472,0.014128807,0.006184111,0.000636208,0.004746576,0.010023937,0.018693652,,0.232097065,0.89,0.18,0.26,-0.51,0.35,0
6/7/13,-0.003915877,0.017919448,0.011708274,0.015037877,0.009553328,0.017559292,0.010577088,0.012246227,0.017919448,0.00241274,0.144389909,0.194360024,1.3,-0.44,0.07,-0.25,-0.07,0
6/10/13,0.008381434,-0.003148287,-0.002720816,0,0.00137261,-0.002993657,0.000373586,-0.000668465,-0.003148287,-0.012773011,0.137876731,0.183063365,0.07,0.66,0.22,-0.21,-0.11,0
6/11/13,-0.004591636,-0.009557829,-0.014176707,-0.018832948,-0.004570784,-0.008633607,-0.011388023,-0.003061544,-0.009557829,-0.014753157,,0.163070605,-1.04,-0.03,-0.58,0.39,0.01,0
6/12/13,-0.004486154,-0.010990294,-0.007499521,-0.007633625,-0.010035875,-0.007332927,-0.007965306,-0.005621231,-0.010990294,-0.014638871,0.214124805,0.185219086,-0.82,0.04,0.02,0.14,0.15,0
6/13/13,0.016268692,0.017548041,0.017260168,0.018975901,0.014303777,0.013575778,0.011320048,0.009184166,0.017548041,0.028089414,0.428843299,0.233943928,1.47,0.14,0.31,-0.17,0.27,0
6/14/13,-0.00143405,-0.002586231,-0.009743588,-0.015151805,-0.001497941,-0.004478097,-0.007778734,-0.002102749,-0.002586231,0.001628002,0.258311996,0.236709348,-0.59,-0.28,-0.54,0.19,-0.03,0
6/17/13,-0.00588237,0.005165791,0.012880661,0.011385322,0.002263876,0.006311521,0.011280256,0.008052456,0.005165791,0.004949099,0.144187768,0.221289085,0.74,-0.09,0.02,-0.23,-0.38,0
6/18/13,0.012784309,0.010200167,0.005692376,0.007518832,0.008581004,0.012845544,0.007182172,0.004380105,0.010200167,0.000808996,,0.23666892,0.8,0.37,-0.05,0,0.03,0
6/19/13,-0.027707128,-0.011094363,-0.010080272,-0.015094626,-0.016195118,-0.014226943,-0.010049742,-0.020068202,-0.011094363,-0.034052143,0.176877762,0.244469126,-1.28,0.21,0.11,-0.01,-0.29,0
6/20/13,-0.023201402,-0.026988305,-0.027625924,-0.023077947,-0.02599154,-0.024461361,-0.022370237,-0.030840958,-0.026988305,-0.042996238,0.260416082,0.247126952,-2.45,0.02,0.34,0.08,-0.12,0
6/21/13,0.005851011,0.002645576,0.003228833,0,0.008562654,0.000435777,-0.007378907,0.01406979,0.002645576,0.018261791,,0.253727381,0.13,0.19,-0.09,-0.2,0.11,0
6/24/13,-0.005459877,-0.009807453,-0.015386665,-0.015686596,-0.007568783,-0.016666824,-0.014033083,-0.004717222,-0.009807453,-0.005159083,,0.209948402,-1.19,0.01,-0.66,0.23,-0.14,0
6/25/13,0.020003248,0.008944361,0.011044421,0.019570096,0.004240445,0.010548592,0.006969244,0.000689316,0.008944361,0.019041689,,0.193827204,0.96,0.07,0.87,-0.29,0.3,0
6/26/13,0.006875942,0.012708968,0.006955856,0.007722046,0.014873001,0.010736676,0.005225904,0.010210042,0.012708968,0.012106075,0.226275856,0.2211899,0.92,-0.72,-0.13,0.02,0.19,0
6/27/13,0.009157862,0.008964864,0.002210175,0.011472401,0.003315259,0.008931642,0.004079723,0.004205415,0.008964864,0.016903211,0.090286123,0.188463956,0.77,0.86,0.36,-0.43,0.23,0
6/28/13,-0.007319568,0.003479365,-0.002141033,-0.003809528,-0.008580952,-0.00619781,-0.004079723,-0.006009677,0.003479365,-0.006677408,0.30580843,0.220696623,-0.33,0.3,-0.14,0.19,-0.32,0
7/1/13,-0.001204018,0.006556713,0.005550303,0.003809528,0.00438097,0.008853783,0.006702342,0.007342962,0.006556713,-0.007305362,0.329307625,0.237919509,0.71,0.73,-0.14,-0.33,0,0
7/2/13,0.005375167,0.00193257,0.002232105,0,-0.003148013,-0.010801888,0.001359426,0.001379895,0.00193257,0.015952729,0.357383262,0.261812259,-0.1,0.03,0.09,0.09,-0.09,0
7/3/13,0.004530589,0.004996887,0.00025723,-0.003809528,-0.001359965,0.00121801,0.005620946,-0.002519137,0.004996887,-0.01022015,0.334419039,0.273913389,0.11,0.17,-0.21,0.17,-0.06,0
7/5/13,0.004760124,0.01022789,0.010880053,0.018904155,0.013123217,0.014901405,0.007012074,0.001962567,0.01022789,-0.00157526,,0.273913389,1.11,0.42,0.45,-0.32,0.14,0
7/8/13,-0.004007018,0.008851653,0.006980448,0.007462721,0.005696597,0.00298039,-0.002365347,0.009683556,0.008851653,0.00157526,0.169925001,0.26452158,0.53,-0.14,0.05,0.15,0.11,0
7/9/13,-0.001695288,0.004320539,0.010605157,0.007407441,0.00254315,0.014403541,0.004465411,0.008117509,0.004320539,0.014066781,0.353636955,0.308413385,0.74,0.05,0.26,-0.01,0.03,0
7/10/13,-0.003966885,0.000709831,-0.005833162,-0.007407441,0.00692081,-0.000812252,0.004584787,0.001306957,0.000709831,0.001632387,0.35,0.315778647,0.06,0.29,-0.41,-0.08,-0.1,0
7/11/13,0.013909127,0.014291709,0.00926033,0.011090687,0.012376352,0.015630804,0.016920143,0.015154126,0.014291709,0.025205667,0.157790921,0.28719253,1.32,-0.18,-0.62,-0.15,-0.16,0
7/12/13,-0.005928439,0.005530795,0.003928431,0.00732604,0.006823595,-0.005797268,0.002343797,0.001168825,0.005530795,-0.004063913,0.270384868,0.272692797,0.33,-0.03,0.2,-0.67,0.05,0
7/15/13,-0.006908707,-0.003334747,-0.000711608,0.003642991,1.73E-05,0.002695769,0.002863685,0.000350381,-0.003334747,-7.98E-05,0.398549376,0.283381187,0.2,0.55,0.34,-0.02,0.08,0
7/16/13,0.006282612,-0.00544906,-0.005611277,-0.003642991,-0.005117585,-0.005450878,0.000175062,-0.003392173,-0.00544906,-0.001358424,0.347923303,0.292601489,-0.41,0.03,0.09,0.13,0.27,0
7/17/13,0.00456151,0.001102205,0.004468335,0.003642991,0.002032821,0.003300033,0.001341121,0.001498654,0.001102205,0.002874483,,0.313047571,0.3,-0.04,0.18,-0.44,0.04,0
7/18/13,-0.009081008,0.005243851,0.009353494,0.014440684,0.002704016,0.008601481,-0.002820383,0.003293818,0.005243851,0.008653251,0.321928095,0.307762761,0.54,0.14,0.96,-0.19,0.21,0
7/19/13,0.00144595,-0.000697593,0.013455202,0,0.013599336,0.012345994,-0.019750037,0.005210526,-0.000697593,-0.001028115,0.361236902,0.309635578,0.09,-0.1,0.28,-0.33,0.48,0
7/22/13,-0.000565558,-0.000598325,-0.002465452,0.007142888,0.004412987,0.000482558,0.003906139,-0.001555662,-0.000598325,0.001818254,,0.340004509,0.22,0.11,0.29,-0.13,0.08,0
7/23/13,0.003701733,-0.001747161,0.001946915,-0.003565066,-0.003337764,-0.000634993,-0.005437061,-0.002489444,-0.001747161,-0.001264522,0.298051529,0.345537841,-0.15,0.1,0.28,-0.02,0.29,0
7/24/13,-0.005715198,-0.002902033,-0.009609038,-0.007168489,-0.001280159,-0.006934911,0.008598369,-0.006309464,-0.002902033,-0.018678704,,0.332284957,-0.39,-0.29,-0.26,0.65,-0.08,0
7/25/13,0.000818459,0.000751334,0.005190577,0,0.00477092,-2.56E-05,0.000414181,0.004397462,0.000751334,-0.000322347,0.163498732,0.286178815,0.42,0.48,-0.35,-0.48,-0.27,0
7/26/13,0.004395611,0.00369834,-0.00275516,0,0.006489293,-0.002484855,0.001241514,-0.000466897,0.00369834,0.001208265,0.255257055,0.279994463,0.02,-0.65,-0.21,0.16,-0.19,0
7/29/13,0.007055254,-0.00550249,-0.008492411,-0.010850016,-0.00294292,-0.003365666,-0.00169515,-0.002923056,-0.00550249,-0.008245136,0.219018124,0.259412468,-0.37,-0.33,-0.28,0.31,-0.16,0
7/30/13,-0.015107637,-0.002611754,-0.002835899,0,-0.000101635,0.003724686,0.007390261,-0.001312305,-0.002611754,-0.002519405,0.186000799,0.224365248,0.12,0.16,-0.51,0.13,-0.08,0
7/31/13,-0.010093722,0.004766334,0.002984068,0,-0.000118587,0.001690791,-0.002725679,-0.001854221,0.004766334,-0.014920756,0.40053793,0.253727362,0.09,0.2,0.09,-0.01,-0.05,0
8/1/13,0.010851393,0.016185439,0.011620235,0.018018506,0.006164779,0.017004191,0.011732114,0.010167559,0.016185439,-0.004055458,0.180572246,0.234147481,1.4,0.08,0.05,-0.2,-0.17,0
8/2/13,0.002269576,0.006969011,-0.005875074,0,0.000774241,0.002136726,0.004897937,0.000464997,0.006969011,-0.004488412,0.290533852,0.242202677,0.2,-0.24,-0.33,-0.01,-0.06,0
8/5/13,-0.000503905,-0.002154224,-0.002786385,-0.003577821,-0.001751314,-0.003773779,0.001852245,0.000743546,-0.002154224,-0.001333778,0.297508083,0.26134687,-0.07,0.49,-0.17,-0.05,-0.08,0
8/6/13,-0.004103671,-0.004864038,-0.004952664,-0.007194276,-0.004510257,-0.007641351,-0.005916033,-0.001394603,-0.004864038,-0.003509655,,0.262361839,-0.68,-0.35,-0.1,0.35,-0.05,0
8/7/13,-0.000253084,-0.008358317,-0.003469931,-0.007246409,0.000389326,-0.002084923,-0.002835063,-0.005247152,-0.008358317,-0.005371844,0.457297915,0.302075138,-0.42,-0.35,0.02,0.29,0.06,0
8/8/13,-0.010048418,0.006978326,0.005595505,0,0.00069364,0.004241546,0.003532887,0.004874929,0.006978326,-0.001263211,0.461904104,0.348059022,0.47,-0.01,-0.01,-0.04,0.15,0
8/9/13,-0.010085847,-0.002765707,-0.004917096,0,-0.003456049,-0.002868059,-0.004369406,-0.004384029,-0.002765707,0.009059705,0.395879034,0.347282539,-0.29,0.13,-0.2,0.14,-0.18,0
8/12/13,0.003995108,-0.000890604,-0.005357052,-0.007299302,-0.004234664,0.000762234,0.006807959,-0.002831835,-0.000890604,-0.007964829,0.415511914,0.38643915,-0.02,0.56,-0.22,0.16,-0.08,0
8/13/13,-0.006710568,-0.000396079,0.001678201,0.003656311,0.002774116,0.004232516,0.007721451,0.000281202,-0.000396079,-0.013474209,0.287831408,0.385988743,0.2,-0.28,-0.05,0.07,-0.11,0
8/14/13,-0.001490168,-0.010703809,-0.004025757,-0.003656311,-0.007831535,-0.007539733,0.00013426,-0.007171861,-0.010703809,-0.003418515,0.186413124,0.367472917,-0.5,0.14,0.28,-0.05,0.02,0
8/15/13,-0.008922525,-0.017826504,-0.006656322,-0.014760416,-0.016458789,-0.011352838,-0.01778246,-0.015913562,-0.017826504,-0.0187519,0.280663471,0.355071567,-1.47,-0.37,0.29,-0.05,0.03,0
8/16/13,-0.010257849,-0.00362421,-0.004119626,0,-0.005465306,0.00100465,0.000136651,-0.006808721,-0.00362421,-0.022762341,,0.338033843,-0.26,0.05,0.09,-0.14,-0.13,0
8/19/13,-0.008096136,-0.003996726,-0.015486021,-0.014981554,0.002378372,-0.004360791,-0.001601938,-0.004039725,-0.003996726,-0.01013507,0.387023123,0.325553679,-0.62,-0.26,-0.75,0.61,-0.33,0
8/20/13,0.004918588,0.008995716,0.004558617,0.011257155,0.001989286,0.000206857,-1.96E-05,-0.000824462,0.008995716,0.021051531,0.152184862,0.284937984,0.53,0.86,0.13,-0.33,0.09,0
8/21/13,-0.011603998,-0.008431107,-0.005414605,-0.007490672,-0.005033216,-0.006510625,-0.000782381,-0.007573119,-0.008431107,-0.000794737,0.220801871,0.25248631,-0.59,-0.07,-0.46,-0.08,-0.31,0
8/22/13,0.003348292,0.010565905,0.013372094,0.011215071,0.005817372,0.012619443,0.004665654,0.004438815,0.010565905,0.004846892,0.169925001,0.232835242,0.93,0.5,0.05,-0.33,-0.19,0
8/23/13,0.014271259,0.000152311,0.007391539,0,0.001949013,0.000950338,0.006348488,0.006016953,0.000152311,0.011276836,0.218640286,0.238206436,0.38,-0.27,-0.14,0.09,-0.25,0
8/26/13,-0.012935075,-0.002185349,-0.002485809,-0.003724399,0.001320384,-0.003214238,-0.003683817,-0.01131165,-0.002185349,-0.003395885,0.352301744,0.250146148,-0.29,0.47,-0.5,-0.12,-0.25,0
8/27/13,-0.001737388,-0.016259687,-0.006055564,-0.026466573,-0.01696692,-0.020109677,-0.020645996,-0.006134838,-0.016259687,-0.004370636,0.202040688,0.243273939,-1.75,-0.74,-0.32,0.67,0.04,0
8/28/13,-0.00536482,0.004282883,0.017575793,0.003824096,0.004299566,0.000630484,0.002079929,-0.007263057,0.004282883,-0.003422407,0.465663572,0.254508289,0.3,0.11,0.08,-0.02,-0.09,0
8/29/13,0.011631925,0.004367156,-0.010931811,0,0.003142476,0.002124953,0.004560674,0.004453028,0.004367156,0.001054296,0.168141694,0.256787837,0.34,0.73,-0.41,-0.4,-0.25,0
8/30/13,-0.001463253,-0.006480504,-0.000252137,-0.003824096,-0.003001819,-0.004438674,-0.005293108,0.002957707,-0.006480504,-0.004135692,0.219886546,0.256657076,-0.47,-1.14,-0.21,0.02,-0.1,0
9/3/13,-0.018541442,0.007454089,0.005849979,0.007633625,0.005924749,0.005250734,0.00326213,-0.000172293,0.007454089,-0.006457628,,0.271112422,0.46,0.06,0.1,-0.48,-0.23,0
9/4/13,0.012533012,0.010039068,0.005250843,0.007575794,0.011140482,0.009512092,0.008803877,0.004469995,0.010039068,0.006104863,0.296632902,0.284111191,0.83,-0.01,-0.15,-0.12,0.09,0
9/5/13,-0.008472917,0.00091227,0.002490744,0.003766483,0.001623321,0.002771412,0.001739794,-0.000956175,0.00091227,-0.009126819,0.293731203,0.274349434,0.19,0.2,0.37,-0.2,-0.08,0
9/6/13,-0.000810701,-0.002129926,0.000215573,0,3.45E-05,-0.000853916,0.001190697,0.001274697,-0.002129926,0.02044124,0.485426827,0.321580457,0.01,0,0,-0.19,-0.09,0
9/9/13,0.002025522,0.00914679,0.010161918,0.011215071,0.006466837,0.012068025,0.012773843,0.007638562,0.00914679,0.022507741,,0.292763834,1.09,0.42,-0.22,-0.2,-0.14,0
9/10/13,0.011134329,0.009612089,0.000164117,0.011090687,0.006067513,0.014246594,0.005646586,0.000801954,0.009612089,-0.000597091,0.251538767,0.309443249,0.8,0.06,0.21,-0.16,0.04,0
9/11/13,0.000266773,0.006852063,0.007536718,0,0.007029727,0.005030318,-0.005242199,0.007502274,0.006852063,0.004681856,0.245112498,0.314488439,0.28,-0.23,0.01,0.22,0.15,0
